投稿日,タイトル,再生数
2021-01-22,がんばれサイゼリヤ！【テイクアウトで飲食店応援！】【緊急事態宣言】,2643554
2021-01-20,【120箱開封!?】チョコエッグスーパーマリオ全種類+シークレットコンプリートするまで終われませんしたら放送事故www【ヒカキンTV】,5889855
2021-01-16,【ランキング】ヒカキンがコロナ禍の1年間で買って良かったものTOP３発表！,2277745
2021-01-14,セブンのおでんそのまま家に置いてみたw【ヒカキンが選ぶセブンおでん具材ランキング】,3019933
2021-01-12,【ウマすぎ】松屋『ネギたっぷりプレミアム旨辛ネギたま牛めし』特盛つゆだくにしたらネギ消えた事件【UberEats】【ウーバーイーツ】【大食い】,2678438
2021-01-09,【神回】斉藤さんを大晦日カウントダウンの瞬間やってる人0人説。知らない人と年越し出来るか!?,1474971
2021-01-06,まるお2021  #Shorts,2173181
2021-01-03,【超高速】道路工事マシーンで餅つきしたら最高にウマい餅出来る説【重機】,2034651
2021-01-01,【孤独】1番早くあけおめLINEくれたYouTuberにお年玉10万円あげる企画やったら誰からも来なくて放送事故【2021】,3626816
2020-12-30,【ヒカキンTV 2020】名場面動画メドレー！,1235983
2020-12-29,光 / ヒカキン & セイキン【メイキング】,2168633
2020-12-26,セイキンの新車フェラーリの車内でカラオケしてみた！【ヒカキン&セイキンメドレー】【フェラーリF8トリブート】,1612153
2020-12-25,光 / ヒカキン & セイキン - レコーディング Ver.,1668176
2020-12-24,Mステの裏側を撮影してきました！2020年クリスマスver.【ヒカキン&セイキン今夜７時頃出演】,913253
2020-12-24,自分の本名を新曲のタイトルにしました。 【光 / ヒカキン&セイキン】ついにMV公開！,2510530
2020-12-23,USJのマリオの世界『スーパー・ニンテンドー・ワールド™』世界最速で遊んだらスゴすぎて涙が…,12451734
2020-12-19,【放送事故】フワちゃんにヒカキンがガチ切れしてマジでヤバい空気に…【ドッキリ】,12251236
2020-12-18,100万円かけて動くヒカキン人肉おもちゃを作ったらキモ過ぎたwww,2448980
2020-12-16,【ドッキリ】超ヒカキン好きな姉妹の家にいるドッキリしたら２人号泣www【感動】,5351408
2020-12-15,【ヒカキン密着24時 2020年コロナ禍Ver.】YouTuberの裏側〜お仕事編〜【まるお&もふこも密着】,8012235
2020-12-12,ヒカキン & セイキン / 光  - MV Teaser #Shorts,2515227
2020-12-11,【昔は好きだったけど今は嫌い】でエゴサしたらメンタル崩壊…【ヒカキンTV】【ツイッター】,2006872
2020-12-08,香水 / 瑛人  -  歌い切れるまで終われません【ヒカキン×フォーエイト】,6845204
2020-12-05,ヒカキン×川口春奈で1個120万の梨食べてみたwww,4690534
2020-12-04,１本60万円のお茶飲んでみたら…【ヒカキン&セイキン】,2741408
2020-12-01,ペヤング 超超超超超超大盛ペタマックス ヒカキン&セイキン兄弟で本気で食べたら…,5665263
