投稿日,タイトル,再生数
2021-01-10,【東大流の闇鍋】問題文をミックスしたら日本語が崩壊www,2072205
2021-01-08,法律って何のためにあるの？東大法学部卒が教えます,845681
2021-01-08,【お知らせ】撮影、動画公開について,537323
2021-01-07,クイズに間違えたら1ヶ月〇〇禁止！,1246102
2021-01-05,信じる？裏切る？東大生たちが「囚人のジレンマ」をやってみた！,1447712
2021-01-02,簡単な英単語を訳せない東大生がいます,1682568
2020-12-31,東大生ら11人で朝からそれ正解！【#18】,1819697
2020-12-28,テスト前の言い訳選手権,1289292
2020-12-26,東大生11人の壁！得意ジャンルクイズで全員倒せ！,900514
2020-12-25,正解したら1000000000円！！【総再生回数10億記念】,1168192
2020-12-24,QuizKnockってIQいくつ？正式な検査を病院で受けてきました,1768504
2020-12-22,東大生が考えた都市伝説、信じちゃう説,586369
2020-12-21,東大頭脳があれば雷も操れるはず【超実験】,557416
2020-12-18,騙し合いであの人がバレバレな演技したらまさかの結果に!?,943832
2020-12-18,映画館がジャックされて急にクイズ出されるドッキリ,982584
2020-12-17,【年末反省会】今年間違えた問題、ちゃんと正解できる？,921527
2020-12-16,カロリーメイトプレゼンツ 受験生応援生放送！！,213286
2020-12-14,猫が問題文の前にいて見えません,1097971
2020-12-11,【検証】東大生なら知識でどんな国にも行ったフリできる？,1171144
2020-12-11,石に関する知識No.1決定戦「Dr.STONE」！！,828027
2020-12-10,【QKマニア王】｢今日の一問｣を見れば何の動画か分かる？,1280526
2020-12-10,オンラインイベント開催決定！！！,90061
2020-12-08,【心理戦×論理戦】パズル王が相手を騙すゲームで無双,854408
2020-12-07,超有利な初心者 VS 超不利なクイズ王チーム,989903
2020-12-04,テロップに埋もれてしまうクイズ,678532
2020-12-04,【勝利条件：負け】自滅タイムアタック！,1031746
2020-12-02,世界最小のクロスワードが意外にも激ムズだった,1198486
2020-11-28,東大生が本気でコンクールに入選しそうな作品を考えてみた【すごい】,1221050
2020-11-27,ひらめき並べ替え早押し！【打倒ふくらP】,1083330
2020-11-27,【大自然】火起こしだ！手裏剣だ！クイズの旅in長野！,813136
2020-11-26,新競技「1500m10問」で世界新記録達成！？,3387852
2020-11-25,【聞き取れ】野球部リスニングクイズ【ティモンディのやつ】,1315901
2020-11-24,サンタになるためには全言語理解出来なきゃダメじゃね？,908249
2020-11-21,東大生なら、問題文3文字もあればわかる説,1823817
2020-11-20,クイズの解答はポーズで！東大生ならリズムゲームも頭脳戦,1407108
2020-11-18,【異次元】何択なのかさえ分からないクイズ,1000095
2020-11-17,【東大生の遊び】超進化◯✕ゲームしてみた【4人同時プレイ】,786432
2020-11-14,早押しボタン壊しちゃった,1251908
2020-11-13,東大生なら｢バーコードにしか見えないフォント｣も読める？,892450
2020-11-12,東大生が1週間かけて作った10回クイズ、全国民ひっかかる説,2614487
2020-11-10,【検証】東大クイズ王ならしりとりしながらクイズできる説,652220
2020-11-09,【見ても無理】｢箱の中身は何だろな？｣を激ムズにしてみた結果www,1193073
2020-11-06,東大生ならどっちを取る？究極の2択大激論！,1343290
2020-11-06,【検証】クイズ王なら、1文字だけで正解できる説,1316035
2020-11-04,クイズ弱いと電撃！ビリビリロシアンルーレット！,1022359
